Q03 Recent active enrollments
=============================
enrollment_id  student_id  course_id  enrolled_on  status
-------------  ----------  ---------  -----------  ------
20             8           10         2024-05-20   active
18             6           7          2024-05-18   active
17             5           6          2024-05-17   active
16             4           5          2024-05-16   active
14             2           3          2024-05-14   active
13             1           2          2024-05-13   active
12             12          9          2024-05-12   active
11             11          8          2024-05-11   active
(8 row(s))
